jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
27.7734,10,10,36.6641,64.4372,completed,3640.78,73715.47,-2.0020,1.26,0.0000,0.1028,0.2206,0.2260,0.2371,0.2806,1.3120,3.2267,5.6134,5.7827
45.9085,8,8,26.3013,72.2093,completed,3640.65,73715.19,-2.0036,1.15,0.0000,0.1350,0.2712,0.4671,0.9261,2.1487,6.0832,7.1695,,
46.9599,7,3,9.7202,56.6792,converged,3640.65,73715.19,-2.0036,1.15,0.0000,0.0760,0.0920,,,,,,,
49.1216,7,7,25.9080,75.0291,completed,3640.53,73714.94,-2.0050,1.04,0.0000,0.0733,0.1953,0.2213,0.2789,3.5988,6.6016,,,
49.8977,7,7,23.7341,73.6311,completed,3640.53,73714.94,-2.0050,1.04,0.0000,0.1440,0.2537,0.4128,1.2316,4.5816,7.4057,,,
43.8386,8,8,27.0838,70.9219,completed,3640.42,73714.70,-2.0056,0.88,0.0000,0.0310,0.1536,0.2644,0.2176,1.8443,5.3547,6.7004,,
59.5692,5,5,17.8961,77.4652,completed,3640.42,73714.70,-2.0056,0.88,0.0000,0.1091,0.5718,1.5957,7.1007,,,,,
28.3750,10,3,9.3711,37.7451,converged,3640.33,73714.50,-2.0080,0.79,0.0000,0.0494,0.0331,,,,,,,
46.4164,7,7,23.8692,70.2852,completed,3640.33,73714.50,-2.0080,0.79,0.0000,0.0360,0.1543,0.2939,0.9044,4.3349,6.8180,,,
49.5764,7,3,9.0612,58.6372,converged,3640.26,73714.34,-2.0101,0.70,0.0000,0.0352,0.0821,,,,,,,
50.7564,7,7,26.3342,77.0902,completed,3640.26,73714.34,-2.0101,0.70,0.0000,0.0310,0.1349,0.3325,1.1808,4.2396,7.2264,,,
47.7558,7,7,25.1260,72.8810,completed,3640.18,73714.19,-2.0132,0.65,0.0000,0.0441,0.1903,0.5397,1.4779,5.1548,7.3766,,,
39.1618,9,3,12.2943,51.4553,converged,3640.18,73714.19,-2.0132,0.65,0.0000,0.0610,0.0334,,,,,,,
35.5520,9,3,9.2203,44.7724,converged,3640.12,73714.05,-2.0160,0.63,0.0000,0.0683,0.0516,,,,,,,
54.7464,6,6,24.0469,78.7929,completed,3640.12,73714.05,-2.0160,0.63,0.0000,0.0572,0.1964,0.5233,2.8886,6.8257,,,,
48.0790,7,3,9.8768,57.9548,converged,3640.05,73713.91,-2.0184,0.65,0.0000,0.0519,0.0870,,,,,,,
40.3813,8,8,25.3506,65.7316,completed,3640.05,73713.91,-2.0184,0.65,0.0000,0.0554,0.1483,0.3816,0.8915,2.9897,6.4251,7.0908,,
45.4242,8,3,9.5158,54.9399,converged,3639.97,73713.75,-2.0219,0.70,0.0000,0.0520,0.0687,,,,,,,
49.8993,7,3,10.6838,60.5828,converged,3639.97,73713.75,-2.0219,0.70,0.0000,0.0663,0.0810,,,,,,,
25.8235,10,3,12.7955,38.6185,converged,3639.90,73713.61,-2.0244,0.69,0.0000,0.0839,0.0295,,,,,,,
56.3392,6,3,9.9603,66.2994,converged,3639.90,73713.61,-2.0244,0.69,0.0000,0.0950,0.0618,,,,,,,
57.8738,6,6,24.1421,82.0151,completed,3639.84,73713.47,-2.0266,0.70,0.0000,0.1005,0.1289,0.3486,3.5931,7.4869,,,,
40.6226,8,8,32.8947,73.5168,completed,3639.84,73713.47,-2.0266,0.70,0.0000,0.0848,0.2313,0.3106,1.0721,2.6352,5.4857,6.4572,,
39.5556,9,3,12.6120,52.1670,converged,3639.75,73713.29,-2.0286,0.76,0.0000,0.0391,0.0594,,,,,,,
45.1976,8,8,41.6554,86.8524,completed,3639.75,73713.29,-2.0286,0.76,0.0000,0.2992,0.4325,0.1084,0.8650,2.6121,4.4733,5.8210,,
